# This file was created using create_datpin_files.R function write_tsDatFile
      #and used all inputs from csv files found in folder:
      #hydradata/data-raw
# Survey index data 
# Number of observations, init_int Nsurvey_obs
  329
# init_matrix obs_survey_biomass(1,Nsurvey_obs,1,5)
# survey year spp value cv
  1 1 4 237969.006596814 0.212720515437525
  2 1 4 237968.23375291 0.25363203301826
  1 2 4 214021.77734485 0.222168779300385
  2 2 4 214020.979858331 0.187773345626693
  1 3 4 192396.185791451 0.394113240257454
  2 3 4 192394.689267513 0.423618201694685
  1 4 4 172849.384380559 0.310035034727007
  2 4 4 172849.429041199 0.327069686277164
  1 5 4 155198.909260984 0.378629084128514
  2 5 4 155197.76408846 0.391316523019912
  1 6 4 139285.142552786 0.494427832556011
  2 6 4 139284.216834295 0.376280830351703
  1 7 4 124973.43391769 0.759062286891916
  2 7 4 124974.552637006 0.665352569827422
  1 8 4 112143.084542106 0.383150869515862
  2 8 4 112143.687669588 0.433685089735353
  1 9 4 100670.358883717 0.48934963094834
  2 9 4 100670.288923898 0.392371299771634
  1 10 4 90445.7386338994 0.382452035825211
  2 10 4 90444.8468160757 0.333798529002863
  1 11 4 81356.6950450282 0.566792532611316
  2 11 4 81356.3371365267 0.868042030585988
  1 12 4 73302.691058226 0.381518572031255
  2 12 4 73302.6059501251 0.445144789260538
  1 13 4 66184.1523899212 0.438380584739347
  2 13 4 66184.8744149562 0.947226139495183
  1 14 4 59910.5996698259 0.482345652338289
  2 14 4 59909.7683711195 0.377075764230608
  1 15 4 54393.0521490717 0.420835086749712
  2 15 4 54392.3352897502 0.614716212748607
  1 16 4 49553.3171838352 0.515165860253858
  2 16 4 49551.9614409598 0.704031323768783
  1 17 4 45315.9450504702 0.559532625975744
  2 17 4 45315.4697496103 0.319774204956139
  1 18 4 41614.332355037 0.479008946214672
  2 18 4 41615.3316148007 0.41351869139049
  1 19 4 38387.7367755092 0.429419179801904
  2 19 4 38386.6405217955 0.387615780132326
  1 20 4 35577.7522190567 0.477074256852948
  2 20 4 35577.5680035433 0.315868813200741
  1 21 4 33136.6556853954 0.410621521476155
  2 21 4 33136.5776785982 0.630050999524052
  1 22 4 31018.8170742953 0.294672690077384
  2 22 4 31018.2499337748 0.335469505128288
  1 23 4 29182.9772705284 0.477447511398437
  2 23 4 29182.362743752 0.407625761955908
  1 24 4 27595.9900557338 0.384568504019134
  2 24 4 27595.8088005414 0.43049173366256
  1 25 4 26223.2753732592 0.333261603198005
  2 25 4 26223.6237714501 0.843960441627036
  1 26 4 25039.5247488935 0.685474246042822
  2 26 4 25039.3194405307 0.429620783824035
  1 27 4 24017.936377434 0.286882992344226
  2 27 4 24018.8437371262 0.81343687860715
  1 28 4 23138.6124197165 0.371822434434906
  2 28 4 23138.5797579844 0.53327636373572
  1 29 4 22381.2217691928 0.592639130460935
  2 29 4 22381.9686083639 0.590339711107796
  1 30 4 21730.8953981734 0.374062101432949
  2 30 4 21731.0471839066 0.701775131617819
  1 31 4 21171.6857010832 0.304499664309564
  2 31 4 21171.4354514749 0.210828956182955
  1 32 4 20691.9094995584 0.233962995093855
  2 32 4 20691.5271584321 0.329779252894958
  1 33 4 20279.9950529857 0.270006842918168
  2 33 4 20279.374995826 0.460124990024536
  1 34 4 19927.3464499721 0.350007507053818
  2 34 4 19926.5640089812 0.837656243552001
  1 35 4 19624.9271191495 0.34274593698132
  2 35 4 19625.0183576287 0.291986952078346
  1 36 4 19366.0043185539 0.261906583866089
  2 36 4 19365.4753838029 0.425399553458769
  1 37 4 19144.9634758857 0.417429035160016
  2 37 4 19144.7062333226 0.287702894520317
  1 38 4 18955.9265594085 0.441211421515246
  2 38 4 18954.2987572352 0.866971810340233
  1 39 4 18792.205125727 0.495234601454268
  2 39 4 18793.4786545218 0.556663444153977
  1 40 4 18654.8653241173 0.237858203733512
  2 40 4 18654.5706121725 0.295404104464232
  1 41 4 18537.0538859556 0.327346172729995
  2 41 4 18536.6338666609 0.994030515469621
  1 42 4 18435.9735063027 0.368315456462939
  2 42 4 18435.9937056927 0.461505384764764
  1 1 2 726250.61421868 0.601375663623589
  2 1 2 726249.014839848 0.565196579518992
  2 2 2 326886.237267119 0.686052062200317
  2 3 2 151936.688051729 0.378997614818957
  1 4 2 76205.0063713662 1
  2 4 2 76204.4164288149 0.459316778181236
  1 5 2 43979.7821080276 0.611089023955187
  2 5 2 43978.1782520986 0.780615956536472
  1 6 2 30451.0576194573 0.702037850017464
  2 6 2 30451.9609258615 0.461790555986525
  1 7 2 24825.4909256581 0.948289691951521
  2 7 2 24825.2625496305 0.685175011742778
  1 8 2 22501.7517573809 0.544380631361087
  2 8 2 22501.1523252368 0.424096495665332
  1 9 2 21544.2338744152 0.5393131982084
  2 9 2 21545.1829719573 0.454629127333952
  1 10 2 21152.0016863137 0.88095039530815
  2 10 2 21153.3601691212 0.419344308350161
  1 11 2 20992.5059510546 0.799987970388403
  2 11 2 20993.2781612421 0.839124360078806
  1 12 2 20925.8748602829 0.774991903603438
  2 12 2 20926.3466127442 0.424721667998453
  1 13 2 20900.1282093675 0.863215133786584
  2 13 2 20899.8143150289 0.387073469025502
  1 14 2 20890.4238378622 0.704083892007286
  2 14 2 20889.1540773998 0.312793018147624
  1 15 2 20885.4215294649 0.457459057188701
  2 15 2 20884.6933954732 0.459652287866146
  1 16 2 20883.7352228135 0.853197309912465
  2 16 2 20882.7115888049 0.628928805514438
  1 17 2 20882.1455046508 0.61116783920211
  2 17 2 20882.1726407526 0.3895964128798
  1 18 2 20882.4578555779 0.416775375911518
  2 18 2 20882.791938911 0.495180348393774
  1 19 2 20883.8685399096 0.69077510766454
  2 19 2 20881.9399723255 0.347120352110889
  1 20 2 20881.466959403 0.793751288508348
  2 20 2 20882.0587605929 0.526946514998015
  1 21 2 20882.6582270722 0.339376634127756
  2 21 2 20881.7912365614 0.609998621037514
  1 22 2 20882.2172717906 0.601950919776798
  2 22 2 20882.2509307503 0.389299707202565
  1 23 2 20882.9417590422 0.658556209578282
  2 23 2 20882.0380230139 0.288585466763824
  1 24 2 20880.9942377793 0.637453135075156
  2 24 2 20881.4233004632 0.480513100150493
  1 25 2 20881.9974048124 0.510473149998029
  2 25 2 20882.4978326332 0.338488147626423
  1 26 2 20882.952412115 0.548437091427541
  2 26 2 20882.7341005943 0.345955330423839
  1 27 2 20882.5376475466 0.492912195981742
  2 27 2 20882.6893390126 0.33164245084141
  1 28 2 20881.4061809696 0.747597319880804
  2 28 2 20883.1046527646 0.447853531697379
  1 29 2 20882.8619704218 0.451616070879294
  2 29 2 20882.6398426323 0.305275882623724
  1 30 2 20881.8979337862 0.797269558848634
  2 30 2 20881.8821089407 0.605264936420634
  1 31 2 20883.4178408596 0.666772556553203
  2 31 2 20882.2318738982 0.359836468902791
  1 32 2 20883.2751454898 0.96787270074405
  2 32 2 20883.6056135976 0.422601396160012
  1 33 2 20882.1762066583 0.404694020855087
  2 33 2 20881.9316945173 0.465820030674526
  1 34 2 20882.9445404433 0.814873375751391
  2 34 2 20883.0490811335 0.505954372112585
  1 35 2 20883.1210779297 0.533219898766676
  2 35 2 20881.7120276666 0.287403659199158
  1 36 2 20881.9977512564 0.371953858881132
  2 36 2 20882.3259713437 0.365560779244073
  1 37 2 20882.3366221968 0.791301167226987
  2 37 2 20882.3001809383 0.487536998609889
  1 38 2 20882.3921734795 0.633364993316759
  2 38 2 20882.4981567986 0.644823084547079
  1 39 2 20882.1030138025 0.827253682697507
  2 39 2 20882.4942106192 0.354235596542703
  1 40 2 20883.0676049362 0.900216415173481
  2 40 2 20882.7652323364 0.395846441583114
  1 41 2 20882.9116318726 0.957770995377006
  2 41 2 20882.1285800517 0.496084887173497
  1 42 2 20883.0907169172 0.55870584954739
  2 42 2 20883.0025723493 0.604660139936764
  1 1 1 1201030.15143521 0.241799049430762
  2 1 1 1201019.98803056 0.250018379470286
  1 2 1 1151900.03651198 0.142636213550947
  2 2 1 1151900.07798657 0.163647146277456
  1 3 1 1095119.63555234 0.225478190042395
  2 3 1 1095110.16969429 0.192013183632222
  1 4 1 1028679.82776 0.323579734794357
  2 4 1 1028669.70323281 0.162432383538487
  1 5 1 954391.173438411 0.320666395151501
  2 5 1 954386.179424647 0.822390366318268
  1 6 1 875625.197929871 0.452044832991261
  2 6 1 875620.916617125 0.192408532269243
  1 7 1 795881.083370055 0.28209645893665
  2 7 1 795876.772997972 0.262097825842625
  1 8 1 718088.481749716 0.414010381101596
  2 8 1 718086.029324182 0.189959250209439
  1 9 1 644389.259430781 0.40638853202345
  2 9 1 644386.981022238 0.178404315527443
  1 10 1 576143.74016138 0.290993157294119
  2 10 1 576140.870497221 0.156753980046499
  1 11 1 514069.624416645 0.324615016521962
  2 11 1 514066.888610474 0.174348711952217
  1 12 1 458401.79051636 0.294780938380682
  2 12 1 458400.141149846 0.195232854572048
  1 13 1 409031.940593052 0.440402569626277
  2 13 1 409030.010928251 0.185762358850192
  1 14 1 365636.029940538 0.372421878022742
  2 14 1 365634.080907199 0.151581173531864
  1 15 1 327758.06320742 0.341871348717721
  2 15 1 327756.928664445 0.233364310094868
  1 16 1 294882.841657892 0.416897355424411
  2 16 1 294881.289214482 0.283802183917676
  1 17 1 266478.856610388 0.500820840736393
  2 17 1 266478.996674726 0.495024013362717
  1 18 1 242027.916000126 0.389853340834037
  2 18 1 242026.971132146 0.390988792530431
  1 19 1 221039.75049275 0.293941849282161
  2 19 1 221038.724585331 0.322403741112933
  1 20 1 203067.033144799 0.525509720403112
  2 20 1 203066.260597779 0.218361153170241
  1 21 1 187705.854840399 0.266433769579894
  2 21 1 187705.470823688 0.421115605185845
  1 22 1 174596.423389349 0.374831371194202
  2 22 1 174594.855144072 0.227391091044855
  1 23 1 163421.945017876 0.352011231642473
  2 23 1 163420.931396535 0.384269029090844
  1 24 1 153908.700614375 0.34725908523047
  2 24 1 153906.614534808 0.331291933735556
  1 25 1 145812.486157348 0.578696888706846
  2 25 1 145811.986378985 0.247394190789157
  1 26 1 138929.89777235 0.459728456052307
  2 26 1 138930.116230466 0.394189312610479
  1 27 1 133081.725009806 0.539982548576019
  2 27 1 133080.267888147 0.72948972943007
  1 28 1 128113.05307421 0.364309332200766
  2 28 1 128112.0926546 0.278656828353639
  1 29 1 123894.091697944 0.562793580097325
  2 29 1 123893.230498172 0.316141323613091
  1 30 1 120312.18938614 0.420348818797864
  2 30 1 120312.145832742 0.30511736182771
  1 31 1 117272.537913043 0.403753427903273
  2 31 1 117271.997621103 0.278331587636247
  1 32 1 114693.245634311 0.491331418922754
  2 32 1 114693.258882673 0.329726795744574
  1 33 1 112504.999096381 0.537081122476055
  2 33 1 112504.944913887 0.33086845072982
  1 34 1 110648.587032682 0.379030815152119
  2 34 1 110648.020569016 0.278881417082292
  1 35 1 109074.330024917 0.519511456600017
  2 35 1 109073.157737068 0.27351876283918
  1 36 1 107739.196871294 0.556056214854877
  2 36 1 107737.036223604 0.714061811185508
  1 37 1 106604.874449108 0.588197671943964
  2 37 1 106604.825767536 0.340315242626747
  1 38 1 105643.647004994 0.324588369174256
  2 38 1 105644.119872432 0.300199803594678
  1 39 1 104828.937096094 0.501841796783066
  2 39 1 104829.564267618 0.438397059851219
  1 40 1 104137.560320418 0.403101009292275
  2 40 1 104138.171645291 0.410378233550251
  1 41 1 103552.086453156 0.478602624152216
  2 41 1 103552.333355919 0.362128776577143
  1 42 1 103055.844924297 0.646634922078809
  2 42 1 103056.758519051 0.816170985475773
  1 1 3 225144.146556455 0.499484636786782
