# This file was created using create_datpin_files.R function write_tsDatFile
      #and used all inputs from csv files found in folder:
      #hydradata/data-raw
# Survey index data 
# Number of observations, init_int Nsurvey_obs
  329
# init_matrix obs_survey_biomass(1,Nsurvey_obs,1,5)
# survey year spp value cv
  1 1 4 237835.344227891 0.212720515437525
  2 1 4 217380.645549854 0.25363203301826
  1 2 4 88891.2002589966 0.222168779300385
  2 2 4 80119.653505706 0.187773345626693
  1 3 4 47663.7458742027 0.394113240257454
  2 3 4 34283.6628185793 0.423618201694685
  1 4 4 72934.13703323 0.310035034727007
  2 4 4 42131.0768042119 0.327069686277164
  1 5 4 86004.5993747758 0.378629084128514
  2 5 4 61360.8976156054 0.391316523019912
  1 6 4 75308.9237920734 0.494427832556011
  2 6 4 53569.8425095926 0.376280830351703
  1 7 4 47549.9080639509 0.759062286891916
  2 7 4 37809.930764082 0.665352569827422
  1 8 4 13120.6789375504 0.383150869515862
  2 8 4 11093.99033455 0.433685089735353
  1 9 4 17733.053937943 0.48934963094834
  2 9 4 8612.44675792438 0.392371299771634
  1 10 4 24697.2257015076 0.382452035825211
  2 10 4 15703.5366698743 0.333798529002863
  1 11 4 15553.4454905302 0.566792532611316
  2 11 4 11062.9460235877 0.868042030585988
  1 12 4 15067.5795183718 0.381518572031255
  2 12 4 8292.48809063504 0.445144789260538
  1 13 4 10201.4110281737 0.438380584739347
  2 13 4 6322.23716832141 0.947226139495183
  1 14 4 11258.9309250088 0.482345652338289
  2 14 4 5711.89518901121 0.377075764230608
  1 15 4 7102.56097315668 0.420835086749712
  2 15 4 4708.42991089932 0.614716212748607
  1 16 4 2297.83393017621 0.515165860253858
  2 16 4 1436.4260927038 0.704031323768783
  1 17 4 8551.56300463586 0.559532625975744
  2 17 4 3259.25438922089 0.319774204956139
  1 18 4 8472.87593288903 0.479008946214672
  2 18 4 5714.71328498424 0.41351869139049
  1 19 4 5258.81095438695 0.429419179801904
  2 19 4 3143.33761996728 0.387615780132326
  1 20 4 7828.04812511214 0.477074256852948
  2 20 4 3631.78534783489 0.315868813200741
  1 21 4 12994.4984603913 0.410621521476155
  2 21 4 7514.99984147172 0.630050999524052
  1 22 4 14150.3243455245 0.294672690077384
  2 22 4 9112.67710867131 0.335469505128288
  1 23 4 10816.6437766302 0.477447511398437
  2 23 4 6713.06266518567 0.407625761955908
  1 24 4 10057.2343903597 0.384568504019134
  2 24 4 5875.59677071564 0.43049173366256
  1 25 4 10083.2125938424 0.333261603198005
  2 25 4 6085.9123872629 0.843960441627036
  1 26 4 6534.28995027467 0.685474246042822
  2 26 4 4367.38256912369 0.429620783824035
  1 27 4 6919.9035876445 0.286882992344226
  2 27 4 4012.94675434576 0.81343687860715
  1 28 4 8532.42295901713 0.371822434434906
  2 28 4 5520.12557672215 0.53327636373572
  1 29 4 15655.8798454677 0.592639130460935
  2 29 4 7989.70149802334 0.590339711107796
  1 30 4 21495.2662076837 0.374062101432949
  2 30 4 14438.1995585773 0.701775131617819
  1 31 4 17417.6889241717 0.304499664309564
  2 31 4 13412.6757759856 0.210828956182955
  1 32 4 19366.5482623369 0.233962995093855
  2 32 4 11339.759764778 0.329779252894958
  1 33 4 17541.6207743341 0.270006842918168
  2 33 4 13242.1440055243 0.460124990024536
  1 34 4 8528.36249261426 0.350007507053818
  2 34 4 6373.55261226657 0.837656243552001
  1 35 4 7473.72468841095 0.34274593698132
  2 35 4 4334.3445867713 0.291986952078346
  1 36 4 14854.8322321658 0.261906583866089
  2 36 4 8071.91088708124 0.425399553458769
  1 37 4 29925.6211529474 0.417429035160016
  2 37 4 16755.026490798 0.287702894520317
  1 38 4 39677.7929024961 0.441211421515246
  2 38 4 26865.5531800873 0.866971810340233
  1 39 4 36635.2453442584 0.495234601454268
  2 39 4 25882.0083078758 0.556663444153977
  1 40 4 22879.3602478628 0.237858203733512
  2 40 4 18187.4993076195 0.295404104464232
  1 41 4 6543.92467571493 0.327346172729995
  2 41 4 5462.59600035408 0.994030515469621
  1 42 4 1483.79620027604 0.368315456462939
  2 42 4 1034.99919351725 0.461505384764764
  1 1 2 3830.94690291452 0.601375663623589
  2 1 2 3119.95918505868 0.565196579518992
  2 2 2 1947.81760731839 0.686052062200317
  2 3 2 1083.58873410851 0.378997614818957
  1 4 2 790.976727389075 1
  2 4 2 623.749555882333 0.459316778181236
  1 5 2 236.233444592845 0.611089023955187
  2 5 2 218.82013416076 0.780615956536472
  1 6 2 180.610015398986 0.702037850017464
  2 6 2 178.956730751326 0.461790555986525
  1 7 2 159.061419769329 0.948289691951521
  2 7 2 152.207075044576 0.685175011742778
  1 8 2 99.6515411825396 0.544380631361087
  2 8 2 102.516468655153 0.424096495665332
  1 9 2 154.879354533817 0.5393131982084
  2 9 2 164.223654025006 0.454629127333952
  1 10 2 248.626985118046 0.88095039530815
  2 10 2 237.652901917634 0.419344308350161
  1 11 2 383.313804478897 0.799987970388403
  2 11 2 416.563353367215 0.839124360078806
  1 12 2 1059.33578971131 0.774991903603438
  2 12 2 1045.83342407835 0.424721667998453
  1 13 2 1000.21742887691 0.863215133786584
  2 13 2 831.493370289446 0.387073469025502
  1 14 2 590.900767507801 0.704083892007286
  2 14 2 536.324752154505 0.312793018147624
  1 15 2 808.596908759409 0.457459057188701
  2 15 2 783.592715351345 0.459652287866146
  1 16 2 800.946630290223 0.853197309912465
  2 16 2 677.732763705753 0.628928805514438
  1 17 2 69.1013332528128 0.61116783920211
  2 17 2 53.7122201264954 0.3895964128798
  1 18 2 228.001048471719 0.416775375911518
  2 18 2 283.770891012575 0.495180348393774
  1 19 2 824.448759942698 0.69077510766454
  2 19 2 887.056175089728 0.347120352110889
  1 20 2 1732.32761835648 0.793751288508348
  2 20 2 1712.8137156897 0.526946514998015
  1 21 2 2156.42591935325 0.339376634127756
  2 21 2 2117.12201291776 0.609998621037514
  1 22 2 2070.67411769912 0.601950919776798
  2 22 2 1931.63840446416 0.389299707202565
  1 23 2 2552.49444948088 0.658556209578282
  2 23 2 2602.04935313378 0.288585466763824
  1 24 2 3177.87556329071 0.637453135075156
  2 24 2 2953.64204958001 0.480513100150493
  1 25 2 2476.86261854576 0.510473149998029
  2 25 2 2103.7460779678 0.338488147626423
  1 26 2 1071.01284775018 0.548437091427541
  2 26 2 1071.88102670609 0.345955330423839
  1 27 2 1155.8237740812 0.492912195981742
  2 27 2 1194.15395395629 0.33164245084141
  1 28 2 1767.02052471162 0.747597319880804
  2 28 2 1725.7180712309 0.447853531697379
  1 29 2 1949.89341851673 0.451616070879294
  2 29 2 1826.28569503787 0.305275882623724
  1 30 2 2025.17936755812 0.797269558848634
  2 30 2 1860.48612590882 0.605264936420634
  1 31 2 2138.25969037653 0.666772556553203
  2 31 2 2118.3839729004 0.359836468902791
  1 32 2 2275.26553593305 0.96787270074405
  2 32 2 2188.71535944622 0.422601396160012
  1 33 2 2798.68956661004 0.404694020855087
  2 33 2 2709.68094545297 0.465820030674526
  1 34 2 3943.51293888185 0.814873375751391
  2 34 2 3968.73778345981 0.505954372112585
  1 35 2 5171.69109096139 0.533219898766676
  2 35 2 4616.32297167262 0.287403659199158
  1 36 2 3426.08137686144 0.371953858881132
  2 36 2 3216.67648957082 0.365560779244073
  1 37 2 4218.54209243153 0.791301167226987
  2 37 2 4180.72612849496 0.487536998609889
  1 38 2 5395.72227391711 0.633364993316759
  2 38 2 4877.35210285113 0.644823084547079
  1 39 2 4393.18905245764 0.827253682697507
  2 39 2 3676.14826808028 0.354235596542703
  1 40 2 1841.04658258276 0.900216415173481
  2 40 2 1527.6830419939 0.395846441583114
  1 41 2 580.788609053485 0.957770995377006
  2 41 2 507.955776958994 0.496084887173497
  1 42 2 334.190298534054 0.55870584954739
  2 42 2 285.679008901374 0.604660139936764
  1 1 1 100434.840294344 0.241799049430762
  2 1 1 225426.94791167 0.250018379470286
  1 2 1 48100.4900440811 0.142636213550947
  2 2 1 108268.030422418 0.163647146277456
