# This file was created using the write_tsDatFile function and used all the simulated data from sim_dta.rds found in repo:Hydra-self-testing
# Survey index data 
# Number of observations, init_int Nsurvey_obs
  329
# init_matrix obs_survey_biomass(1,Nsurvey_obs,1,5)
# survey year spp value cv
  1 1 4 727103.067210462 0.212720515437525
  2 1 4 572720.877216057 0.25363203301826
  1 2 4 21170.4455772303 0.222168779300385
  2 2 4 22972.5259442162 0.187773345626693
  1 3 4 330523.20533096 0.394113240257454
  2 3 4 1092.74334579115 0.423618201694685
  1 4 4 200430.429495321 0.310035034727007
  2 4 4 4745.18200366496 0.327069686277164
  1 5 4 113331.16658495 0.378629084128514
  2 5 4 6385.78735885398 0.391316523019912
  1 6 4 7514.95410105627 0.494427832556011
  2 6 4 1581.32529455293 0.376280830351703
  1 7 4 41265.4160909245 0.759062286891916
  2 7 4 735.749551046066 0.665352569827422
  1 8 4 3837.61774005343 0.383150869515862
  2 8 4 687.755544462963 0.433685089735353
  1 9 4 19798.1588130702 0.48934963094834
  2 9 4 517.473868328932 0.392371299771634
  1 10 4 30906.4825867809 0.382452035825211
  2 10 4 555.331894656909 0.333798529002863
  1 11 4 9660.35178559114 0.566792532611316
  2 11 4 110.964800943185 0.868042030585988
  1 12 4 21802.2417378986 0.381518572031255
  2 12 4 340.791534534805 0.445144789260538
  1 13 4 15373.5858208115 0.438380584739347
  2 13 4 237.251059628913 0.947226139495183
  1 14 4 10208.3401950141 0.482345652338289
  2 14 4 254.33607204411 0.377075764230608
  1 15 4 3904.87119460678 0.420835086749712
  2 15 4 62.5630482657602 0.614716212748607
  1 16 4 3369.42861355306 0.515165860253858
  2 16 4 276.077558960179 0.704031323768783
  1 17 4 2785.35761225574 0.559532625975744
  2 17 4 74.5335818719526 0.319774204956139
  1 18 4 1877.97826152806 0.479008946214672
  2 18 4 81.5146508876129 0.41351869139049
  1 19 4 7630.71753553131 0.429419179801904
  2 19 4 86.1313356357051 0.387615780132326
  1 20 4 12616.9340769277 0.477074256852948
  2 20 4 117.186478079964 0.315868813200741
  1 21 4 3997.92299685504 0.410621521476155
  2 21 4 102.365540498163 0.630050999524052
  1 22 4 14809.0528294903 0.294672690077384
  2 22 4 191.209162294507 0.335469505128288
  1 23 4 4983.65824691404 0.477447511398437
  2 23 4 236.803084943716 0.407625761955908
  1 24 4 5759.7781624914 0.384568504019134
  2 24 4 166.165862606236 0.43049173366256
  1 25 4 3698.10156424176 0.333261603198005
  2 25 4 148.029718360352 0.843960441627036
  1 26 4 6688.52679430271 0.685474246042822
  2 26 4 79.14227198992 0.429620783824035
  1 27 4 3998.4318887171 0.286882992344226
  2 27 4 44.0602094195589 0.81343687860715
  1 28 4 10523.3994836871 0.371822434434906
  2 28 4 241.782982468735 0.53327636373572
  1 29 4 55605.8042693012 0.592639130460935
  2 29 4 175.828079144624 0.590339711107796
  1 30 4 15062.7013207985 0.374062101432949
  2 30 4 414.455121238194 0.701775131617819
  1 31 4 20134.8121872893 0.304499664309564
  2 31 4 616.107796990775 0.210828956182955
  1 32 4 29161.0533714247 0.233962995093855
  2 32 4 921.584135530748 0.329779252894958
  1 33 4 7881.04976137664 0.270006842918168
  2 33 4 330.085301392944 0.460124990024536
  1 34 4 16546.7202111582 0.350007507053818
  2 34 4 158.197338808724 0.837656243552001
  1 35 4 11901.0137804491 0.34274593698132
  2 35 4 346.182401638724 0.291986952078346
  1 36 4 22871.4003844649 0.261906583866089
  2 36 4 345.007814268522 0.425399553458769
  1 37 4 72930.0036913727 0.417429035160016
  2 37 4 1922.20687673047 0.287702894520317
  1 38 4 49168.3050371483 0.441211421515246
  2 38 4 5105.7234209447 0.866971810340233
  1 39 4 16730.7870417984 0.495234601454268
  2 39 4 326.025588553799 0.556663444153977
  1 40 4 10416.0117501251 0.237858203733512
  2 40 4 476.027869432744 0.295404104464232
  1 41 4 5113.29146392757 0.327346172729995
  2 41 4 171.534006769707 0.994030515469621
  1 42 4 1787.91273658797 0.368315456462939
  2 42 4 104.298976595592 0.461505384764764
  1 1 2 4.47796406573251e-264 0.601375663623589
  2 1 2 1.39304172918995e-264 0.565196579518992
  2 2 2 1.66506893501766e-209 0.686052062200317
  2 3 2 2.75977461155789e-187 0.378997614818957
  1 4 2 2.91541021324436e-191 1
  2 4 2 6.56298427542307e-193 0.459316778181236
  1 5 2 4.33288023005123e-194 0.611089023955187
  2 5 2 1.67130424010939e-195 0.780615956536472
  1 6 2 2.71042774054096e-199 0.702037850017464
  2 6 2 2.17567118099978e-199 0.461790555986525
