# This file was created using the write_tsDatFile function and used all the simulated data from sim_dta.rds found in repo:Hydra-self-testing
# Survey index data 
# Number of observations, init_int Nsurvey_obs
  329
# init_matrix obs_survey_biomass(1,Nsurvey_obs,1,5)
# survey year spp value cv
  1 1 4 629214.285186686 0.212720515437525
  2 1 4 388391.340449286 0.25363203301826
  1 2 4 18124.1607656961 0.222168779300385
  2 2 4 17044.4002272364 0.187773345626693
  1 3 4 250580.14384293 0.394113240257454
  2 3 4 2496.52486720559 0.423618201694685
  1 4 4 306776.862880325 0.310035034727007
  2 4 4 5605.13779207052 0.327069686277164
  1 5 4 123761.686111627 0.378629084128514
  2 5 4 4176.54947003842 0.391316523019912
  1 6 4 7955.93861445486 0.494427832556011
  2 6 4 1862.95047215259 0.376280830351703
  1 7 4 50528.8015369548 0.759062286891916
  2 7 4 2392.55085203996 0.665352569827422
  1 8 4 9807.02925076455 0.383150869515862
  2 8 4 195.976577406567 0.433685089735353
  1 9 4 31595.9641573766 0.48934963094834
  2 9 4 535.015427273289 0.392371299771634
  1 10 4 28574.6759578999 0.382452035825211
  2 10 4 834.691269762838 0.333798529002863
  1 11 4 13998.3792011873 0.566792532611316
  2 11 4 339.69572370201 0.868042030585988
  1 12 4 17341.0907463354 0.381518572031255
  2 12 4 154.48165868664 0.445144789260538
  1 13 4 5263.79759648634 0.438380584739347
  2 13 4 532.07572265784 0.947226139495183
  1 14 4 11900.4598141154 0.482345652338289
  2 14 4 136.983288033802 0.377075764230608
  1 15 4 3908.14756776118 0.420835086749712
  2 15 4 82.8817039715131 0.614716212748607
  1 16 4 16304.3721233789 0.515165860253858
  2 16 4 87.7911813878336 0.704031323768783
  1 17 4 2568.19909165058 0.559532625975744
  2 17 4 81.8372649165467 0.319774204956139
  1 18 4 1080.95562111499 0.479008946214672
  2 18 4 45.2269294876 0.41351869139049
  1 19 4 3629.33039680547 0.429419179801904
  2 19 4 90.7540913647027 0.387615780132326
  1 20 4 10732.3448907377 0.477074256852948
  2 20 4 119.73264829005 0.315868813200741
  1 21 4 9827.26683086712 0.410621521476155
  2 21 4 29.9274668704205 0.630050999524052
  1 22 4 23004.6917613166 0.294672690077384
  2 22 4 191.967735143568 0.335469505128288
  1 23 4 6550.12700076073 0.477447511398437
  2 23 4 240.896314040361 0.407625761955908
  1 24 4 8877.07629252969 0.384568504019134
  2 24 4 173.906144931934 0.43049173366256
  1 25 4 4228.49041711607 0.333261603198005
  2 25 4 167.245474343052 0.843960441627036
  1 26 4 4060.73969067841 0.685474246042822
  2 26 4 93.0715649044671 0.429620783824035
  1 27 4 4444.40954235775 0.286882992344226
  2 27 4 27.704843175765 0.81343687860715
  1 28 4 13021.383335393 0.371822434434906
  2 28 4 353.286469843311 0.53327636373572
  1 29 4 12102.3697469694 0.592639130460935
  2 29 4 523.729520795363 0.590339711107796
  1 30 4 10886.9839351992 0.374062101432949
  2 30 4 510.176821603258 0.701775131617819
  1 31 4 11751.945745596 0.304499664309564
  2 31 4 520.29802120885 0.210828956182955
  1 32 4 32294.8134139168 0.233962995093855
  2 32 4 736.506195663017 0.329779252894958
  1 33 4 6798.8241781848 0.270006842918168
  2 33 4 217.546313459158 0.460124990024536
  1 34 4 12569.6449214521 0.350007507053818
  2 34 4 240.546718255884 0.837656243552001
  1 35 4 8731.99899910053 0.34274593698132
  2 35 4 317.90722877996 0.291986952078346
  1 36 4 15197.0711639079 0.261906583866089
  2 36 4 293.99667018722 0.425399553458769
  1 37 4 60977.2221785674 0.417429035160016
  2 37 4 1812.43741656075 0.287702894520317
  1 38 4 53510.0408564425 0.441211421515246
  2 38 4 1426.85944128665 0.866971810340233
  1 39 4 23237.7113594751 0.495234601454268
  2 39 4 1028.53365516562 0.556663444153977
  1 40 4 10217.3775170265 0.237858203733512
  2 40 4 429.422136586783 0.295404104464232
  1 41 4 3189.78935805558 0.327346172729995
  2 41 4 154.474270987184 0.994030515469621
  1 42 4 1816.12461402735 0.368315456462939
  2 42 4 99.2559484621893 0.461505384764764
  1 1 2 7.5769620616647e-264 0.601375663623589
  2 1 2 1.48459551259759e-264 0.565196579518992
  2 2 2 1.04679515392551e-209 0.686052062200317
  2 3 2 4.60525136882522e-187 0.378997614818957
  1 4 2 1.00057377946875e-190 1
  2 4 2 1.35945250608518e-192 0.459316778181236
  1 5 2 1.03618964619585e-194 0.611089023955187
  2 5 2 1.56372192187977e-195 0.780615956536472
  1 6 2 3.41021390684363e-198 0.702037850017464
  2 6 2 2.84910264154967e-199 0.461790555986525
  1 7 2 2.58237919131556e-201 0.948289691951521
