# This file was created using the write_tsDatFile function and used all the simulated data from sim_dta.rds found in repo:Hydra-self-testing
# Survey index data 
# Number of observations, init_int Nsurvey_obs
  329
# init_matrix obs_survey_biomass(1,Nsurvey_obs,1,5)
# survey year spp value cv
  1 1 4 505249.736005609 0.212720515437525
  2 1 4 327993.634720677 0.25363203301826
  1 2 4 15043.4351675755 0.222168779300385
  2 2 4 17747.0351632851 0.187773345626693
  1 3 4 192281.660400916 0.394113240257454
  2 3 4 3323.38762718212 0.423618201694685
  1 4 4 358838.520567113 0.310035034727007
  2 4 4 7171.76368621578 0.327069686277164
  1 5 4 223674.021357324 0.378629084128514
  2 5 4 3618.39353396607 0.391316523019912
  1 6 4 14408.7902537597 0.494427832556011
  2 6 4 929.465665017923 0.376280830351703
  1 7 4 104295.788178261 0.759062286891916
  2 7 4 1920.42481966284 0.665352569827422
  1 8 4 4682.05159736112 0.383150869515862
  2 8 4 514.140888860959 0.433685089735353
  1 9 4 43135.0563002215 0.48934963094834
  2 9 4 837.396913037108 0.392371299771634
  1 10 4 22228.6123207598 0.382452035825211
  2 10 4 726.48622330999 0.333798529002863
  1 11 4 10787.866252879 0.566792532611316
  2 11 4 185.072274689578 0.868042030585988
  1 12 4 34964.6674602879 0.381518572031255
  2 12 4 536.523452561764 0.445144789260538
  1 13 4 9009.71838523093 0.438380584739347
  2 13 4 318.38368122619 0.947226139495183
  1 14 4 12689.0369785707 0.482345652338289
  2 14 4 234.456531196655 0.377075764230608
  1 15 4 7084.08844585409 0.420835086749712
  2 15 4 41.0383238779791 0.614716212748607
  1 16 4 12335.464531697 0.515165860253858
  2 16 4 89.0150799334375 0.704031323768783
  1 17 4 8676.93380999736 0.559532625975744
  2 17 4 143.557745268599 0.319774204956139
  1 18 4 2050.55767972232 0.479008946214672
  2 18 4 28.6589233455235 0.41351869139049
  1 19 4 3845.64943017501 0.429419179801904
  2 19 4 79.0634142508742 0.387615780132326
  1 20 4 6230.07637168052 0.477074256852948
  2 20 4 74.7132640801843 0.315868813200741
  1 21 4 7164.02855831996 0.410621521476155
  2 21 4 43.3455992374965 0.630050999524052
  1 22 4 10338.6152249637 0.294672690077384
  2 22 4 171.880030782855 0.335469505128288
  1 23 4 12180.9772325792 0.477447511398437
  2 23 4 293.425758317906 0.407625761955908
  1 24 4 8427.28266387203 0.384568504019134
  2 24 4 220.471096110721 0.43049173366256
  1 25 4 4336.43212121362 0.333261603198005
  2 25 4 1103.44676482813 0.843960441627036
  1 26 4 9468.3070590395 0.685474246042822
  2 26 4 105.775494626992 0.429620783824035
  1 27 4 2722.88409395431 0.286882992344226
  2 27 4 269.39890252181 0.81343687860715
  1 28 4 9432.37168691319 0.371822434434906
  2 28 4 234.165224850435 0.53327636373572
  1 29 4 7812.22285554781 0.592639130460935
  2 29 4 210.927207232831 0.590339711107796
