# This file was created using the write_tsDatFile function and used all the simulated data from sim_dta.rds found in repo:Hydra-self-testing
# Survey index data 
# Number of observations, init_int Nsurvey_obs
  329
# init_matrix obs_survey_biomass(1,Nsurvey_obs,1,5)
# survey year spp value cv
  1 1 4 412496.529967621 0.212720515437525
  2 1 4 618347.338904642 0.25363203301826
  1 2 4 19554.3010610352 0.222168779300385
  2 2 4 19618.5050667499 0.187773345626693
  1 3 4 166371.943558067 0.394113240257454
  2 3 4 6270.56938484664 0.423618201694685
  1 4 4 242515.817716787 0.310035034727007
  2 4 4 7589.00601845827 0.327069686277164
  1 5 4 200538.707864539 0.378629084128514
  2 5 4 7582.75897472568 0.391316523019912
  1 6 4 31894.760372835 0.494427832556011
  2 6 4 3299.89868198079 0.376280830351703
  1 7 4 96961.3601530223 0.759062286891916
  2 7 4 1247.00407988733 0.665352569827422
  1 8 4 3851.48839402001 0.383150869515862
  2 8 4 326.591688102093 0.433685089735353
  1 9 4 32884.7879740429 0.48934963094834
  2 9 4 513.786051573227 0.392371299771634
  1 10 4 21642.5078221816 0.382452035825211
  2 10 4 521.686589265305 0.333798529002863
  1 11 4 16355.5898886119 0.566792532611316
  2 11 4 65.6097334428755 0.868042030585988
  1 12 4 18691.7892782598 0.381518572031255
  2 12 4 144.783945562749 0.445144789260538
  1 13 4 17597.6519469286 0.438380584739347
  2 13 4 5879.62841173311 0.947226139495183
  1 14 4 8267.90751630161 0.482345652338289
  2 14 4 200.386178585752 0.377075764230608
  1 15 4 2492.57178508737 0.420835086749712
  2 15 4 86.6328142501907 0.614716212748607
  1 16 4 8343.46175420833 0.515165860253858
  2 16 4 96.5439138347437 0.704031323768783
  1 17 4 3344.62176864678 0.559532625975744
  2 17 4 97.6913428089786 0.319774204956139
  1 18 4 1213.4351824403 0.479008946214672
  2 18 4 55.5190929646658 0.41351869139049
  1 19 4 4745.22167647547 0.429419179801904
  2 19 4 36.3185674614967 0.387615780132326
  1 20 4 9893.4077943684 0.477074256852948
  2 20 4 77.7621630076019 0.315868813200741
  1 21 4 5940.73626880835 0.410621521476155
  2 21 4 140.921153146607 0.630050999524052
  1 22 4 13360.051057879 0.294672690077384
  2 22 4 348.932583359513 0.335469505128288
  1 23 4 8525.65612967133 0.477447511398437
  2 23 4 237.464478325652 0.407625761955908
  1 24 4 7855.42771170068 0.384568504019134
  2 24 4 149.455757952938 0.43049173366256
  1 25 4 4678.55361817302 0.333261603198005
  2 25 4 62.9221468615496 0.843960441627036
  1 26 4 10567.857276506 0.685474246042822
  2 26 4 53.9898311807565 0.429620783824035
  1 27 4 2090.95231573754 0.286882992344226
  2 27 4 112.073717369532 0.81343687860715
  1 28 4 14860.6735622852 0.371822434434906
  2 28 4 488.889997764077 0.53327636373572
  1 29 4 10469.3228040656 0.592639130460935
  2 29 4 306.4804259919 0.590339711107796
  1 30 4 24962.6109401512 0.374062101432949
  2 30 4 436.313315187163 0.701775131617819
  1 31 4 20067.821018349 0.304499664309564
  2 31 4 405.366761295643 0.210828956182955
  1 32 4 49229.2492328366 0.233962995093855
  2 32 4 1110.13970075984 0.329779252894958
  1 33 4 8630.3536771914 0.270006842918168
  2 33 4 206.611271552882 0.460124990024536
  1 34 4 11517.5250154173 0.350007507053818
  2 34 4 407.935742025472 0.837656243552001
  1 35 4 7088.48900604933 0.34274593698132
  2 35 4 338.732238670268 0.291986952078346
  1 36 4 14678.8883830973 0.261906583866089
  2 36 4 248.293403226179 0.425399553458769
  1 37 4 70196.6972057686 0.417429035160016
  2 37 4 1056.77954387379 0.287702894520317
  1 38 4 52729.9259762917 0.441211421515246
  2 38 4 3743.48976985279 0.866971810340233
  1 39 4 21704.306631987 0.495234601454268
  2 39 4 1280.57326494935 0.556663444153977
  1 40 4 14359.6082081001 0.237858203733512
  2 40 4 262.621716074641 0.295404104464232
  1 41 4 5958.29230730716 0.327346172729995
  2 41 4 134.021925490578 0.994030515469621
  1 42 4 2096.19226625442 0.368315456462939
  2 42 4 63.1147654692499 0.461505384764764
  1 1 2 1.63609737951202e-263 0.601375663623589
  2 1 2 4.5531378771546e-264 0.565196579518992
  2 2 2 7.32974467252194e-209 0.686052062200317
  2 3 2 5.66326072425837e-187 0.378997614818957
  1 4 2 1.57553919778338e-191 1
  2 4 2 7.1633203926074e-193 0.459316778181236
  1 5 2 2.39107511426421e-194 0.611089023955187
  2 5 2 2.52184367291987e-195 0.780615956536472
  1 6 2 3.64777862042249e-198 0.702037850017464
  2 6 2 2.32968496341844e-199 0.461790555986525
  1 7 2 2.80943160331785e-201 0.948289691951521
  2 7 2 4.98463299907993e-202 0.685175011742778
  1 8 2 4.71111631449032e-203 0.544380631361087
