# This file was created using the write_tsDatFile function and used all the simulated data from sim_dta.rds found in repo:Hydra-self-testing
# Survey index data 
# Number of observations, init_int Nsurvey_obs
  329
# init_matrix obs_survey_biomass(1,Nsurvey_obs,1,5)
# survey year spp value cv
  1 1 4 386377.009882564 0.212720515437525
  2 1 4 561991.59169474 0.25363203301826
  1 2 4 17653.3868577012 0.222168779300385
  2 2 4 11595.9750799021 0.187773345626693
  1 3 4 278954.782827068 0.394113240257454
  2 3 4 1886.39982329948 0.423618201694685
  1 4 4 299358.008893882 0.310035034727007
  2 4 4 12258.3856791205 0.327069686277164
  1 5 4 175181.733123834 0.378629084128514
  2 5 4 5611.38453388693 0.391316523019912
  1 6 4 25484.307501339 0.494427832556011
  2 6 4 523.534256936969 0.376280830351703
  1 7 4 90518.1995985152 0.759062286891916
  2 7 4 1066.60010115013 0.665352569827422
  1 8 4 3058.56314323629 0.383150869515862
  2 8 4 652.291862896854 0.433685089735353
  1 9 4 35986.2066898457 0.48934963094834
  2 9 4 528.23459636506 0.392371299771634
  1 10 4 52542.7725093124 0.382452035825211
  2 10 4 1095.26735807352 0.333798529002863
  1 11 4 11835.3800831812 0.566792532611316
  2 11 4 376.261293711677 0.868042030585988
  1 12 4 11853.563020234 0.381518572031255
  2 12 4 269.40310553156 0.445144789260538
  1 13 4 3112.24559528645 0.438380584739347
  2 13 4 936.981954845098 0.947226139495183
  1 14 4 30257.8589526734 0.482345652338289
  2 14 4 313.780209524747 0.377075764230608
  1 15 4 4011.54957051141 0.420835086749712
  2 15 4 167.523056339591 0.614716212748607
  1 16 4 6697.53593013186 0.515165860253858
  2 16 4 94.0338054596823 0.704031323768783
  1 17 4 1611.53694741505 0.559532625975744
  2 17 4 133.684309403721 0.319774204956139
  1 18 4 3105.28128043952 0.479008946214672
  2 18 4 40.5154815127799 0.41351869139049
  1 19 4 4505.91273474073 0.429419179801904
  2 19 4 58.3858887117606 0.387615780132326
  1 20 4 7142.50911517791 0.477074256852948
  2 20 4 93.4148593115832 0.315868813200741
  1 21 4 5661.31000546095 0.410621521476155
  2 21 4 377.250016872602 0.630050999524052
  1 22 4 19552.4284210926 0.294672690077384
  2 22 4 549.08924981378 0.335469505128288
  1 23 4 26371.7048120114 0.477447511398437
  2 23 4 285.694523067149 0.407625761955908
  1 24 4 10801.5851504001 0.384568504019134
  2 24 4 99.4867892544499 0.43049173366256
  1 25 4 4318.72190203864 0.333261603198005
  2 25 4 122.945249784469 0.843960441627036
  1 26 4 2743.62505360255 0.685474246042822
  2 26 4 87.3150385817041 0.429620783824035
  1 27 4 4039.35304091011 0.286882992344226
  2 27 4 654.686111741786 0.81343687860715
  1 28 4 11331.1437633784 0.371822434434906
  2 28 4 324.157986196996 0.53327636373572
  1 29 4 6981.72325298616 0.592639130460935
  2 29 4 241.621406035951 0.590339711107796
  1 30 4 41375.3812796253 0.374062101432949
  2 30 4 500.81985148868 0.701775131617819
  1 31 4 15267.2466585611 0.304499664309564
  2 31 4 607.900995646272 0.210828956182955
  1 32 4 29039.8693797523 0.233962995093855
  2 32 4 917.148438825592 0.329779252894958
  1 33 4 8868.19511656565 0.270006842918168
  2 33 4 167.6591195016 0.460124990024536
  1 34 4 9462.42477020204 0.350007507053818
  2 34 4 266.439506691049 0.837656243552001
  1 35 4 6626.47609124321 0.34274593698132
  2 35 4 231.925747581707 0.291986952078346
  1 36 4 25303.4998426506 0.261906583866089
  2 36 4 455.478800130626 0.425399553458769
  1 37 4 40488.9014529368 0.417429035160016
  2 37 4 1607.80951198789 0.287702894520317
  1 38 4 79647.2626008335 0.441211421515246
  2 38 4 3920.33163346789 0.866971810340233
  1 39 4 23579.2986073958 0.495234601454268
  2 39 4 385.350914848738 0.556663444153977
  1 40 4 12832.8297246102 0.237858203733512
  2 40 4 306.736358080955 0.295404104464232
  1 41 4 3065.03381942905 0.327346172729995
  2 41 4 624.045574014707 0.994030515469621
  1 42 4 988.29173756453 0.368315456462939
  2 42 4 80.4352619666217 0.461505384764764
  1 1 2 2.64035456903468e-264 0.601375663623589
  2 1 2 1.42828994802431e-264 0.565196579518992
  2 2 2 1.15351804739701e-209 0.686052062200317
  2 3 2 4.26301301612081e-187 0.378997614818957
  1 4 2 1.0049776528402e-190 1
  2 4 2 6.55412606794368e-193 0.459316778181236
  1 5 2 9.02523441221697e-195 0.611089023955187
  2 5 2 2.5040412743453e-195 0.780615956536472
  1 6 2 6.64889527247795e-199 0.702037850017464
  2 6 2 2.5272883663522e-199 0.461790555986525
  1 7 2 1.12693438091109e-200 0.948289691951521
  2 7 2 1.12031204583327e-201 0.685175011742778
  1 8 2 5.72684216972537e-203 0.544380631361087
  2 8 2 4.35868096430079e-204 0.424096495665332
  1 9 2 1.0775932103695e-204 0.5393131982084
  2 9 2 9.58606611847097e-206 0.454629127333952
  1 10 2 7.51765516051828e-207 0.88095039530815
  2 10 2 3.55480126540437e-207 0.419344308350161
  1 11 2 2.21912705871103e-207 0.799987970388403
  2 11 2 5.3564829950074e-208 0.839124360078806
  1 12 2 4.43116217366792e-202 0.774991903603438
  2 12 2 3.84652755068533e-204 0.424721667998453
  1 13 2 2.20909059866899e-206 0.863215133786584
  2 13 2 1.47597883244982e-207 0.387073469025502
  1 14 2 3.89825275755839e-208 0.704083892007286
  2 14 2 5.99754782517443e-209 0.312793018147624
  1 15 2 2.87986601642691e-201 0.457459057188701
  2 15 2 3.39573772066826e-204 0.459652287866146
  1 16 2 1.56404989112695e-187 0.853197309912465
  2 16 2 2.46160127675208e-189 0.628928805514438
  1 17 2 2.14158664182378e-200 0.61116783920211
  2 17 2 6.76525517500479e-202 0.3895964128798
  1 18 2 7.27654352023793e-205 0.416775375911518
  2 18 2 2.49756358794407e-206 0.495180348393774
  1 19 2 1.37635571530544e-185 0.69077510766454
  2 19 2 9.13515293180939e-188 0.347120352110889
  1 20 2 1.09730665350426e-190 0.793751288508348
  2 20 2 1.2435332919323e-191 0.526946514998015
  1 21 2 7.46154752297855e-193 0.339376634127756
  2 21 2 5.21194416175645e-194 0.609998621037514
  1 22 2 4.78008608238826e-195 0.601950919776798
