"","n_sim","fleet","area","year","species","obs_value","cv","pred_value","res","nll"
"1","1",1,1,1,"Atlantic_cod",17791.5,0.05,16221.4,0.092393,9.41698
"2","1",1,1,2,"Atlantic_cod",18836.4,0.05,17409,0.0788032,9.00874
"3","1",1,1,3,"Atlantic_cod",22062.1,0.05,20674.4,0.0649627,8.76885
"4","1",1,1,4,"Atlantic_cod",19562.9,0.05,18723.3,0.0438667,8.18945
"5","1",1,1,5,"Atlantic_cod",29134.2,0.05,27623.5,0.0532431,8.76984
"6","1",1,1,6,"Atlantic_cod",21516,0.05,20266,0.059849,8.61614
"7","1",1,1,7,"Atlantic_cod",15012.9,0.05,14530.6,0.0326553,7.75315
"8","1",1,1,8,"Atlantic_cod",16960.1,0.05,13766.3,0.208643,16.3682
"9","1",1,1,9,"Atlantic_cod",15004.9,0.05,13500.4,0.10566,9.77216
"10","1",1,1,10,"Atlantic_cod",18171.5,0.05,16997.3,0.0668022,8.62332
"11","1",1,1,11,"Atlantic_cod",19922.4,0.05,16139.5,0.210575,16.6912
"12","1",1,1,12,"Atlantic_cod",16950,0.05,15219.4,0.107701,9.98112
"13","1",1,1,13,"Atlantic_cod",19148,0.05,14464.2,0.280523,23.5218
"14","1",1,1,14,"Atlantic_cod",16184.9,0.05,11602.4,0.332865,29.7749
"15","1",1,1,15,"Atlantic_cod",12772.7,0.05,8503.44,0.406836,40.4813
"16","1",1,1,16,"Atlantic_cod",7632.19,0.05,3852,0.683782,100.375
"17","1",1,1,17,"Atlantic_cod",6914.25,0.05,6081.79,0.128286,10.056
"18","1",1,1,18,"Atlantic_cod",5138.89,0.05,4665.92,0.0965514,8.33223
"19","1",1,1,19,"Atlantic_cod",4214.61,0.05,2590.46,0.48672,53.6489
"20","1",1,1,20,"Atlantic_cod",5046.52,0.05,4090.37,0.210064,15.275
"21","1",1,1,21,"Atlantic_cod",4646.51,0.05,3928.91,0.167754,11.9953
"22","1",1,1,22,"Atlantic_cod",4982.25,0.05,4055.29,0.205859,14.9125
"23","1",1,1,23,"Atlantic_cod",4803,0.05,3705.73,0.25936,19.8537
"24","1",1,1,24,"Atlantic_cod",6150.21,0.05,5012.12,0.204627,15.0219
"25","1",1,1,25,"Atlantic_cod",5183.66,0.05,3424,0.414702,40.8721
"26","1",1,1,26,"Atlantic_cod",5392.29,0.05,4219.87,0.245165,18.5371
"27","1",1,1,27,"Atlantic_cod",2445.86,0.05,1917.79,0.243226,17.5571
"28","1",1,1,28,"Atlantic_cod",1898.72,0.05,1724.82,0.0960597,7.31764
"29","1",1,1,29,"Atlantic_cod",2382.87,0.05,2084.91,0.133583,9.26815
"30","1",1,1,30,"Atlantic_cod",3788.81,0.05,3641.72,0.0395939,6.47655
"31","1",1,1,31,"Atlantic_cod",4704.23,0.05,4471.53,0.0507301,6.89413
"32","1",1,1,32,"Atlantic_cod",3660.61,0.05,3473.19,0.0525541,6.68098
"33","1",1,1,33,"Atlantic_cod",2128.72,0.05,1934.91,0.0954606,7.40903
"34","1",1,1,34,"Atlantic_cod",1830.92,0.05,1460.6,0.225974,15.6486
"35","1",1,1,35,"Atlantic_cod",1247.28,0.05,1093.86,0.131249,8.49718
"36","1",1,1,36,"Atlantic_cod",692.478,0.05,676.278,0.0236724,4.57556
"37","1",1,1,37,"Atlantic_cod",1066.34,0.05,1078.27,-0.0111244,4.91994
"38","1",1,1,38,"Atlantic_cod",1011.63,0.05,1016.57,-0.0048721,4.84728
"39","1",1,1,39,"Atlantic_cod",910.05,0.05,924.969,-0.0162604,4.78959
"40","1",1,1,40,"Atlantic_cod",640.792,0.05,644.155,-0.00523406,4.39139
"41","1",1,1,41,"Atlantic_cod",591.16,0.05,468.54,0.232465,15.1133
"42","1",1,1,42,"Atlantic_cod",370.97,0.05,364.998,0.0162292,3.892
"43","1",1,1,1,"Spiny_dogfish",5881.23,0.05,6428.89,-0.089036,8.18821
"44","1",1,1,2,"Spiny_dogfish",4587.79,0.05,4701.77,-0.0245409,6.47481
"45","1",1,1,3,"Spiny_dogfish",6821.86,0.05,7021.53,-0.0288496,6.91755
"46","1",1,1,4,"Spiny_dogfish",6655.83,0.05,6890.47,-0.0346454,6.96652
"47","1",1,1,5,"Spiny_dogfish",8136.51,0.05,8408.04,-0.0328266,7.14284
"48","1",1,1,6,"Spiny_dogfish",8121.29,0.05,8025.29,0.0118905,6.95373
"49","1",1,1,7,"Spiny_dogfish",6061.68,0.05,5705.61,0.060537,7.36589
"50","1",1,1,8,"Spiny_dogfish",5758.78,0.05,4362.69,0.277636,21.998
"51","1",1,1,9,"Spiny_dogfish",6369.67,0.05,6222.74,0.0233365,6.79143
"52","1",1,1,10,"Spiny_dogfish",6848.79,0.05,6735.35,0.0167012,6.81082
"53","1",1,1,11,"Spiny_dogfish",7932.24,0.05,7163.63,0.101918,8.97936
"54","1",1,1,12,"Spiny_dogfish",10224.5,0.05,8928.45,0.135546,10.8303
"55","1",1,1,13,"Spiny_dogfish",12244.3,0.05,8709.62,0.340636,30.5426
"56","1",1,1,14,"Spiny_dogfish",13696.9,0.05,10554,0.260667,21.0376
"57","1",1,1,15,"Spiny_dogfish",7699.79,0.05,4953.17,0.441166,45.7977
"58","1",1,1,16,"Spiny_dogfish",5666.03,0.05,4093.27,0.325144,27.7092
"59","1",1,1,17,"Spiny_dogfish",14390.6,0.05,12306.3,0.156469,12.3941
"60","1",1,1,18,"Spiny_dogfish",5141.16,0.05,3305.96,0.441553,45.4621
"61","1",1,1,19,"Spiny_dogfish",5947.5,0.05,3491.27,0.532704,63.3687
"62","1",1,1,20,"Spiny_dogfish",10489.8,0.05,8146.68,0.25279,19.9619
"63","1",1,1,21,"Spiny_dogfish",4854.39,0.05,3834.71,0.23579,17.5302
"64","1",1,1,22,"Spiny_dogfish",4802.01,0.05,4172.82,0.140442,10.3448
"65","1",1,1,23,"Spiny_dogfish",7720.78,0.05,6153.7,0.226862,17.1681
"66","1",1,1,24,"Spiny_dogfish",7524.64,0.05,5785.66,0.262801,20.662
"67","1",1,1,25,"Spiny_dogfish",6109.81,0.05,4198.21,0.375237,34.8014
"68","1",1,1,26,"Spiny_dogfish",4996.79,0.05,4326.19,0.144108,10.5932
"69","1",1,1,27,"Spiny_dogfish",3380.89,0.05,2695.74,0.226464,16.3063
"70","1",1,1,28,"Spiny_dogfish",1891.66,0.05,1706.7,0.102892,7.58578
"71","1",1,1,29,"Spiny_dogfish",5371.75,0.05,4875.22,0.0969879,8.39344
"72","1",1,1,30,"Spiny_dogfish",3400.29,0.05,3261.15,0.0417791,6.40392
"73","1",1,1,31,"Spiny_dogfish",2118.81,0.05,1954.01,0.0809727,6.89313
"74","1",1,1,32,"Spiny_dogfish",3902.11,0.05,3726.4,0.0460743,6.61705
"75","1",1,1,33,"Spiny_dogfish",2854.56,0.05,2553.2,0.11157,8.36944
"76","1",1,1,34,"Spiny_dogfish",3450,0.05,3077.29,0.114326,8.68342
"77","1",1,1,35,"Spiny_dogfish",3892.75,0.05,3340.3,0.153055,10.8752
"78","1",1,1,36,"Spiny_dogfish",2997.16,0.05,2695.99,0.105902,8.17167
"79","1",1,1,37,"Spiny_dogfish",5098.29,0.05,4749.71,0.0708204,7.46297
"80","1",1,1,38,"Spiny_dogfish",4632.25,0.05,4382.13,0.0555073,6.98022
"81","1",1,1,39,"Spiny_dogfish",5589.59,0.05,4849.97,0.141932,10.5808
"82","1",1,1,40,"Spiny_dogfish",4111.74,0.05,3087.34,0.286537,22.6655
"83","1",1,1,41,"Spiny_dogfish",3325.08,0.05,3098.64,0.0705295,7.02733
"84","1",1,1,42,"Spiny_dogfish",2254.95,0.05,1927.2,0.157057,10.5774
"85","1",2,1,1,"Atlantic_herring",1457.08,0.05,1471.61,-0.00992566,5.2271
"86","1",2,1,2,"Atlantic_herring",763.39,0.05,757.126,0.00823982,4.57455
"87","1",2,1,3,"Atlantic_herring",1364.77,0.05,1382.32,-0.0127812,5.17462
"88","1",2,1,4,"Atlantic_herring",866.188,0.05,844.362,0.0255206,4.81757
"89","1",2,1,5,"Atlantic_herring",1251.04,0.05,1246.19,0.00387972,5.05795
"90","1",2,1,6,"Atlantic_herring",1138.77,0.05,1117.91,0.0184831,5.02923
"91","1",2,1,7,"Atlantic_herring",738.094,0.05,749.14,-0.0148554,4.57141
"92","1",2,1,8,"Atlantic_herring",929.384,0.05,854.549,0.0839491,6.16722
"93","1",2,1,9,"Atlantic_herring",891.655,0.05,870.607,0.0238892,4.83043
"94","1",2,1,10,"Atlantic_herring",838.893,0.05,833.258,0.00673907,4.66437
"95","1",2,1,11,"Atlantic_herring",1068.3,0.05,1023.66,0.0426808,5.26136
"96","1",2,1,12,"Atlantic_herring",994.463,0.05,1049.76,-0.0541116,5.41102
"97","1",2,1,13,"Atlantic_herring",3250.67,0.05,3318.15,-0.020548,6.09427
"98","1",2,1,14,"Atlantic_herring",1598.43,0.05,1520.67,0.0498703,5.79739
"99","1",2,1,15,"Atlantic_herring",1106.95,0.05,1260.13,-0.129614,8.2925
"100","1",2,1,16,"Atlantic_herring",2312.24,0.05,1920.71,0.185524,12.553
"101","1",2,1,17,"Atlantic_herring",2050.93,0.05,2088.69,-0.018244,5.61582
"102","1",2,1,18,"Atlantic_herring",32.2935,0.05,31.7199,0.0179245,1.46233
"103","1",2,1,19,"Atlantic_herring",3176.01,0.05,2736.02,0.14912,10.4339
"104","1",2,1,20,"Atlantic_herring",5379.15,0.05,4984.7,0.076157,7.67347
"105","1",2,1,21,"Atlantic_herring",11775.8,0.05,9422.03,0.222997,17.2425
"106","1",2,1,22,"Atlantic_herring",13410.4,0.05,12771.8,0.0487909,7.9031
"107","1",2,1,23,"Atlantic_herring",9276.56,0.05,7720.09,0.183665,13.805
"108","1",2,1,24,"Atlantic_herring",17737.7,0.05,11422.2,0.440137,46.4508
"109","1",2,1,25,"Atlantic_herring",8389.19,0.05,5218.22,0.474788,52.0427
"110","1",2,1,26,"Atlantic_herring",11526.9,0.05,9844.57,0.15776,12.2533
"111","1",2,1,27,"Atlantic_herring",10244.7,0.05,6915.28,0.393028,38.0519
"112","1",2,1,28,"Atlantic_herring",8668.6,0.05,8077.11,0.0706742,7.98964
"113","1",2,1,29,"Atlantic_herring",9370.93,0.05,7664.2,0.201053,15.153
"114","1",2,1,30,"Atlantic_herring",7562.68,0.05,6311.15,0.180908,13.3997
"115","1",2,1,31,"Atlantic_herring",7773.78,0.05,7042.44,0.0988026,8.83411
"116","1",2,1,32,"Atlantic_herring",16598.9,0.05,17463.7,-0.0507851,8.15612
"117","1",2,1,33,"Atlantic_herring",9067.07,0.05,6590.4,0.319034,27.3922
"118","1",2,1,34,"Atlantic_herring",16902,0.05,13792.6,0.203299,15.9245
"119","1",2,1,35,"Atlantic_herring",17426,0.05,12793.4,0.30903,26.7888
"120","1",2,1,36,"Atlantic_herring",17986.8,0.05,14819.8,0.193672,15.2224
"121","1",2,1,37,"Atlantic_herring",17958.9,0.05,15889.3,0.12244,10.7174
"122","1",2,1,38,"Atlantic_herring",16928.2,0.05,14101.5,0.182706,14.3362
"123","1",2,1,39,"Atlantic_herring",9350.75,0.05,8755.32,0.0657953,7.93222
"124","1",2,1,40,"Atlantic_herring",6439.6,0.05,4973.98,0.258246,20.0316
"125","1",2,1,41,"Atlantic_herring",5084.42,0.05,4918.13,0.0332515,6.67827
"126","1",2,1,42,"Atlantic_herring",1328.27,0.05,1484.07,-0.11091,7.57504
"127","1",2,1,1,"Atlantic_mackerel",449.217,0.05,446.845,0.00529456,4.03632
"128","1",2,1,2,"Atlantic_mackerel",272.679,0.05,274.945,-0.00827599,3.5452
"129","1",2,1,3,"Atlantic_mackerel",350.528,0.05,344.41,0.0176086,3.84466
"130","1",2,1,4,"Atlantic_mackerel",399.264,0.05,408.868,-0.0237693,4.02583
"131","1",2,1,5,"Atlantic_mackerel",2806.09,0.05,2805.48,0.000217121,5.86276
"132","1",2,1,6,"Atlantic_mackerel",3527.27,0.05,3582.85,-0.015635,6.14038
"133","1",2,1,7,"Atlantic_mackerel",2579.97,0.05,2527.27,0.0206356,5.8639
"134","1",2,1,8,"Atlantic_mackerel",2322.96,0.05,2239.22,0.0367134,5.94338
"135","1",2,1,9,"Atlantic_mackerel",3127.88,0.05,3148.53,-0.00658071,5.97998
"136","1",2,1,10,"Atlantic_mackerel",2370.15,0.05,2389.97,-0.00832635,5.70778
"137","1",2,1,11,"Atlantic_mackerel",3091.75,0.05,3231.91,-0.044336,6.35283
"138","1",2,1,12,"Atlantic_mackerel",569.519,0.05,528.08,0.0755441,5.40938
"139","1",2,1,13,"Atlantic_mackerel",2437.51,0.05,2188.05,0.107964,8.05317
"140","1",2,1,14,"Atlantic_mackerel",1367.82,0.05,1331.54,0.0268858,5.28875
"141","1",2,1,15,"Atlantic_mackerel",966.557,0.05,815.185,0.170326,10.5991
"142","1",2,1,16,"Atlantic_mackerel",1025.8,0.05,1073.19,-0.0451651,5.26441
"143","1",2,1,17,"Atlantic_mackerel",13421.2,0.05,9975.42,0.296712,25.0354
"144","1",2,1,18,"Atlantic_mackerel",988.717,0.05,960.254,0.0292105,4.99027
"145","1",2,1,19,"Atlantic_mackerel",877.018,0.05,848.977,0.0324955,4.91093
"146","1",2,1,20,"Atlantic_mackerel",724.765,0.05,686.999,0.0535159,5.08184
"147","1",2,1,21,"Atlantic_mackerel",513.829,0.05,583.53,-0.127206,7.40137
"148","1",2,1,22,"Atlantic_mackerel",2041.58,0.05,1827.02,0.111037,8.01055
"149","1",2,1,23,"Atlantic_mackerel",910.786,0.05,840.274,0.0805802,6.03615
"150","1",2,1,24,"Atlantic_mackerel",292.709,0.05,368.914,-0.231385,14.3102
"151","1",2,1,25,"Atlantic_mackerel",996.204,0.05,1067.79,-0.0693948,5.79029
"152","1",2,1,26,"Atlantic_mackerel",2011.84,0.05,2035.16,-0.0115233,5.55657
"153","1",2,1,27,"Atlantic_mackerel",2217.03,0.05,1980.03,0.113058,8.18355
"154","1",2,1,28,"Atlantic_mackerel",657.967,0.05,671.542,-0.020421,4.49576
"155","1",2,1,29,"Atlantic_mackerel",1601.29,0.05,1685.14,-0.0510416,5.82282
"156","1",2,1,30,"Atlantic_mackerel",2052.99,0.05,1987.63,0.0323548,5.75963
"157","1",2,1,31,"Atlantic_mackerel",1564.04,0.05,1509.93,0.0352038,5.52609
"158","1",2,1,32,"Atlantic_mackerel",652.132,0.05,583.795,0.110698,6.85425
"159","1",2,1,33,"Atlantic_mackerel",173.405,0.05,201.305,-0.149191,7.53044
"160","1",2,1,34,"Atlantic_mackerel",132.272,0.05,132.526,-0.00191611,2.8088
"161","1",2,1,35,"Atlantic_mackerel",138.337,0.05,146.393,-0.0565993,3.4936
"162","1",2,1,36,"Atlantic_mackerel",2117.29,0.05,2091.96,0.0120384,5.61008
"163","1",2,1,37,"Atlantic_mackerel",2184.95,0.05,2080.77,0.0488546,6.08991
"164","1",2,1,38,"Atlantic_mackerel",1061.6,0.05,1188.62,-0.113019,7.44541
"165","1",2,1,39,"Atlantic_mackerel",1055.53,0.05,1047.57,0.00756794,4.89646
"166","1",2,1,40,"Atlantic_mackerel",1475.75,0.05,1491.39,-0.0105428,5.24236
"167","1",2,1,41,"Atlantic_mackerel",17791.5,0.05,15490.5,0.138492,11.5457
"168","1",2,1,42,"Atlantic_mackerel",18836.4,0.05,16825.9,0.112872,10.3148
"169","2",1,1,1,"Atlantic_cod",17791.5,0.05,16505.7,0.0750166,8.83518
"170","2",1,1,2,"Atlantic_cod",18836.4,0.05,17362.5,0.0814776,9.09447
"171","2",1,1,3,"Atlantic_cod",22062,0.05,20391.5,0.0787419,9.16488
"172","2",1,1,4,"Atlantic_cod",19562.9,0.05,18436.1,0.0593235,8.50845
"173","2",1,1,5,"Atlantic_cod",29134.2,0.05,28134.2,0.034928,8.44687
"174","2",1,1,6,"Atlantic_cod",21515.9,0.05,20536.5,0.0465891,8.33386
"175","2",1,1,7,"Atlantic_cod",15013,0.05,14491.1,0.0353807,7.79024
"176","2",1,1,8,"Atlantic_cod",16960.2,0.05,13763.3,0.208859,16.3862
"177","2",1,1,9,"Atlantic_cod",15005.1,0.05,13633,0.0958951,9.37853
"178","2",1,1,10,"Atlantic_cod",18171.6,0.05,17297.5,0.0492961,8.21684
"179","2",1,1,11,"Atlantic_cod",19922.6,0.05,16037.6,0.216918,17.2335
"180","2",1,1,12,"Atlantic_cod",16950.1,0.05,15416.7,0.094823,9.45951
"181","2",1,1,13,"Atlantic_cod",19148,0.05,14301.7,0.291819,24.8149
"182","2",1,1,14,"Atlantic_cod",16185,0.05,11826.7,0.313722,27.2994
"183","2",1,1,15,"Atlantic_cod",12772.7,0.05,8445.42,0.413682,41.6048
"184","2",1,1,16,"Atlantic_cod",7632.22,0.05,3847.74,0.684893,100.679
"185","2",1,1,17,"Atlantic_cod",6914.3,0.05,5921.32,0.155032,11.5716
"186","2",1,1,18,"Atlantic_cod",5138.95,0.05,4605.81,0.10953,8.86718
"187","2",1,1,19,"Atlantic_cod",4214.55,0.05,2610.44,0.479024,52.1623
"188","2",1,1,20,"Atlantic_cod",5046.52,0.05,4220.86,0.17866,12.8335
"189","2",1,1,21,"Atlantic_cod",4646.56,0.05,3793.68,0.20279,14.5919
"190","2",1,1,22,"Atlantic_cod",4982.15,0.05,4040.98,0.209374,15.2043
"191","2",1,1,23,"Atlantic_cod",4803,0.05,3887.21,0.211548,15.3507
"192","2",1,1,24,"Atlantic_cod",6150.29,0.05,5004.04,0.206253,15.1556
"193","2",1,1,25,"Atlantic_cod",5183.64,0.05,3392.14,0.424048,42.4398
"194","2",1,1,26,"Atlantic_cod",5392.37,0.05,4290.41,0.228602,16.9677
"195","2",1,1,27,"Atlantic_cod",2445.83,0.05,1858.28,0.274735,20.8212
"196","2",1,1,28,"Atlantic_cod",1898.74,0.05,1737.76,0.0885962,7.04201
"197","2",1,1,29,"Atlantic_cod",2382.88,0.05,2131.95,0.111276,8.17573
"198","2",1,1,30,"Atlantic_cod",3788.79,0.05,3661.52,0.0341699,6.39653
"199","2",1,1,31,"Atlantic_cod",4704.23,0.05,4318.39,0.0855814,7.84426
"200","2",1,1,32,"Atlantic_cod",3660.53,0.05,3457.23,0.0571384,6.78153
"201","2",1,1,33,"Atlantic_cod",2128.71,0.05,1951.58,0.0868766,7.09599
"202","2",1,1,34,"Atlantic_cod",1830.83,0.05,1454.71,0.22996,16.0121
"203","2",1,1,35,"Atlantic_cod",1247.34,0.05,1091.47,0.133486,8.6157
"204","2",1,1,36,"Atlantic_cod",692.369,0.05,682.28,0.0146784,4.50642
"205","2",1,1,37,"Atlantic_cod",1066.3,0.05,1087.38,-0.0195754,4.97179
"206","2",1,1,38,"Atlantic_cod",1011.65,0.05,1023.31,-0.0114681,4.86884
"207","2",1,1,39,"Atlantic_cod",910.112,0.05,924.557,-0.015748,4.78637
"208","2",1,1,40,"Atlantic_cod",640.96,0.05,641.008,-7.47472e-05,4.38617
"209","2",1,1,41,"Atlantic_cod",591.052,0.05,471.394,0.226211,14.5394
"210","2",1,1,42,"Atlantic_cod",370.939,0.05,358.238,0.0348415,4.08203
"211","2",1,1,1,"Spiny_dogfish",5881.2,0.05,6322.12,-0.0722945,7.64802
"212","2",1,1,2,"Spiny_dogfish",4587.74,0.05,4735.73,-0.0317496,6.55596
"213","2",1,1,3,"Spiny_dogfish",6821.95,0.05,7076.57,-0.036644,7.01966
"214","2",1,1,4,"Spiny_dogfish",6655.86,0.05,6976.29,-0.0470192,7.16862
"215","2",1,1,5,"Spiny_dogfish",8136.62,0.05,8242.25,-0.0128981,6.96061
"216","2",1,1,6,"Spiny_dogfish",8121.25,0.05,7906.27,0.0268287,7.0694
"217","2",1,1,7,"Spiny_dogfish",6061.73,0.05,5728.78,0.0564928,7.27124
"218","2",1,1,8,"Spiny_dogfish",5758.91,0.05,4442.41,0.259551,20.055
"219","2",1,1,9,"Spiny_dogfish",6369.69,0.05,6282.47,0.0137864,6.72052
"220","2",1,1,10,"Spiny_dogfish",6848.72,0.05,6694.73,0.0227419,6.85846
"221","2",1,1,11,"Spiny_dogfish",7932.22,0.05,7274.45,0.0865647,8.40059
"222","2",1,1,12,"Spiny_dogfish",10224.5,0.05,8860.25,0.143208,11.2574
"223","2",1,1,13,"Spiny_dogfish",12244.4,0.05,8929.35,0.315726,27.2726
"224","2",1,1,14,"Spiny_dogfish",13697,0.05,10436.9,0.271827,22.2261
"225","2",1,1,15,"Spiny_dogfish",7699.96,0.05,4948.5,0.44213,45.9679
"226","2",1,1,16,"Spiny_dogfish",5666.04,0.05,4071.78,0.33041,28.3997
"227","2",1,1,17,"Spiny_dogfish",14390.6,0.05,12506,0.140366,11.4381
"228","2",1,1,18,"Spiny_dogfish",5141.21,0.05,3327.63,0.435028,44.3181
"229","2",1,1,19,"Spiny_dogfish",5947.52,0.05,3500.57,0.530048,62.8041
"230","2",1,1,20,"Spiny_dogfish",10489.9,0.05,8148.9,0.252527,19.9354
"231","2",1,1,21,"Spiny_dogfish",4854.25,0.05,3886.27,0.222407,16.3038
"232","2",1,1,22,"Spiny_dogfish",4802.01,0.05,4250.2,0.122068,9.38012
"233","2",1,1,23,"Spiny_dogfish",7720.72,0.05,6176.14,0.223214,16.8398
"234","2",1,1,24,"Spiny_dogfish",7524.62,0.05,5782.95,0.263265,20.7109
"235","2",1,1,25,"Spiny_dogfish",6109.87,0.05,4211.96,0.371978,34.3143
"236","2",1,1,26,"Spiny_dogfish",4996.79,0.05,4222.08,0.16847,12.1162
"237","2",1,1,27,"Spiny_dogfish",3380.96,0.05,2706.32,0.22257,15.9566
"238","2",1,1,28,"Spiny_dogfish",1891.61,0.05,1714.22,0.0984682,7.40758
"239","2",1,1,29,"Spiny_dogfish",5371.76,0.05,4822.63,0.107836,8.83784
"240","2",1,1,30,"Spiny_dogfish",3400.11,0.05,3235.1,0.0497465,6.54971
"241","2",1,1,31,"Spiny_dogfish",2118.84,0.05,2020.2,0.0476761,6.03643
"242","2",1,1,32,"Spiny_dogfish",3902.15,0.05,3732.72,0.044392,6.58662
"243","2",1,1,33,"Spiny_dogfish",2854.58,0.05,2521.82,0.123947,8.95244
"244","2",1,1,34,"Spiny_dogfish",3449.97,0.05,3081.06,0.113091,8.62723
"245","2",1,1,35,"Spiny_dogfish",3892.69,0.05,3345.75,0.15141,10.775
"246","2",1,1,36,"Spiny_dogfish",2997.09,0.05,2664.72,0.117541,8.6918
"247","2",1,1,37,"Spiny_dogfish",5098.19,0.05,4703.75,0.0805252,7.75671
"248","2",1,1,38,"Spiny_dogfish",4632.31,0.05,4356.4,0.0614079,7.1182
"249","2",1,1,39,"Spiny_dogfish",5589.56,0.05,4854.12,0.141071,10.5321
"250","2",1,1,40,"Spiny_dogfish",4111.69,0.05,3108.32,0.279752,21.8971
"251","2",1,1,41,"Spiny_dogfish",3325.07,0.05,3094.83,0.0717568,7.06226
"252","2",1,1,42,"Spiny_dogfish",2254.81,0.05,1937.2,0.151824,10.2541
"253","2",2,1,1,"Atlantic_herring",1457.1,0.05,1446.74,0.00713554,5.21759
"254","2",2,1,2,"Atlantic_herring",763.494,0.05,769.406,-0.00771368,4.57301
"255","2",2,1,3,"Atlantic_herring",1364.74,0.05,1378.67,-0.0101512,5.16254
"256","2",2,1,4,"Atlantic_herring",866.193,0.05,848.455,0.0206915,4.77294
"257","2",2,1,5,"Atlantic_herring",1251.12,0.05,1233.58,0.0141144,5.09484
"258","2",2,1,6,"Atlantic_herring",1138.71,0.05,1122.44,0.0143967,5.00231
"259","2",2,1,7,"Atlantic_herring",738.038,0.05,745.493,-0.0100508,4.5474
"260","2",2,1,8,"Atlantic_herring",929.322,0.05,860.687,0.0767248,5.935
"261","2",2,1,9,"Atlantic_herring",891.631,0.05,869.356,0.0253,4.84428
"262","2",2,1,10,"Atlantic_herring",838.833,0.05,833.062,0.00690372,4.66475
"263","2",2,1,11,"Atlantic_herring",1068.24,0.05,1015.56,0.0505713,5.40847
"264","2",2,1,12,"Atlantic_herring",994.454,0.05,1063.6,-0.0672231,5.72919
"265","2",2,1,13,"Atlantic_herring",3250.72,0.05,3406.52,-0.0468145,6.44816
"266","2",2,1,14,"Atlantic_herring",1598.47,0.05,1507.95,0.0582929,5.97962
"267","2",2,1,15,"Atlantic_herring",1106.95,0.05,1202.17,-0.0825207,6.2945
"268","2",2,1,16,"Atlantic_herring",2312.25,0.05,1948.87,0.170974,11.5156
"269","2",2,1,17,"Atlantic_herring",2050.95,0.05,2188.35,-0.0648486,6.39033
"270","2",2,1,18,"Atlantic_herring",32.4813,0.05,31.2462,0.0387657,1.70443
"271","2",2,1,19,"Atlantic_herring",3176.01,0.05,2721.66,0.154383,10.7534
"272","2",2,1,20,"Atlantic_herring",5379.22,0.05,5052.18,0.0627223,7.30032
"273","2",2,1,21,"Atlantic_herring",11775.9,0.05,9030.93,0.265398,21.3842
"274","2",2,1,22,"Atlantic_herring",13410.3,0.05,12550.9,0.0662346,8.30439
"275","2",2,1,23,"Atlantic_herring",9276.34,0.05,7786.41,0.175087,13.1895
"276","2",2,1,24,"Atlantic_herring",17737.8,0.05,11340.5,0.44732,47.7257
"277","2",2,1,25,"Atlantic_herring",8389.37,0.05,5145.1,0.48892,54.7666
"278","2",2,1,26,"Atlantic_herring",11526.9,0.05,9454.82,0.198159,15.1291
"279","2",2,1,27,"Atlantic_herring",10244.7,0.05,6525.95,0.450977,47.8337
"280","2",2,1,28,"Atlantic_herring",8668.55,0.05,8298.75,0.0435974,7.37081
"281","2",2,1,29,"Atlantic_herring",9370.9,0.05,7728.34,0.192715,14.4964
"282","2",2,1,30,"Atlantic_herring",7562.61,0.05,6264.75,0.188278,13.9439
"283","2",2,1,31,"Atlantic_herring",7773.75,0.05,6851.36,0.126306,10.0723
"284","2",2,1,32,"Atlantic_herring",16598.9,0.05,16725.6,-0.00760797,7.65187
"285","2",2,1,33,"Atlantic_herring",9067.08,0.05,7085.97,0.246533,19.1913
"286","2",2,1,34,"Atlantic_herring",16902,0.05,13469.8,0.226978,17.9622
"287","2",2,1,35,"Atlantic_herring",17426.1,0.05,12817.2,0.307185,26.5615
"288","2",2,1,36,"Atlantic_herring",17986.7,0.05,14329.2,0.227334,18.0568
"289","2",2,1,37,"Atlantic_herring",17959,0.05,15649.5,0.13765,11.5085
"290","2",2,1,38,"Atlantic_herring",16928.2,0.05,14179.2,0.177205,13.9402
"291","2",2,1,39,"Atlantic_herring",9350.68,0.05,8715.07,0.0703951,8.0575
"292","2",2,1,40,"Atlantic_herring",6439.69,0.05,5062.36,0.240647,18.2756
"293","2",2,1,41,"Atlantic_herring",5084.4,0.05,4952.47,0.0262914,6.59539
"294","2",2,1,42,"Atlantic_herring",1328.26,0.05,1471.32,-0.102288,7.20739
"295","2",2,1,1,"Atlantic_mackerel",449.225,0.05,454.834,-0.0124092,4.06153
"296","2",2,1,2,"Atlantic_mackerel",272.596,0.05,270.66,0.00712728,3.54136
"297","2",2,1,3,"Atlantic_mackerel",350.412,0.05,345.212,0.0149507,3.82702
"298","2",2,1,4,"Atlantic_mackerel",399.273,0.05,406.613,-0.0182187,3.97923
"299","2",2,1,5,"Atlantic_mackerel",2806.21,0.05,2831.37,-0.00892428,5.87872
"300","2",2,1,6,"Atlantic_mackerel",3527.28,0.05,3578.6,-0.014446,6.13323
"301","2",2,1,7,"Atlantic_mackerel",2579.84,0.05,2550.72,0.0113513,5.80446
"302","2",2,1,8,"Atlantic_mackerel",2323,0.05,2238.65,0.0369895,5.94747
"303","2",2,1,9,"Atlantic_mackerel",3127.73,0.05,3108.66,0.00611422,5.97875
"304","2",2,1,10,"Atlantic_mackerel",2370.21,0.05,2381.16,-0.00461073,5.69819
